"","Item","Loading","Coef"
"133","Onion","PC5",-0.216933291864456
"134","Taquito","PC5",-0.22339163427792
"135","Pineapple","PC5",0.0670845220297067
"136","Ham","PC5",-0.024120311030555
"137","Chile_relleno","PC5",0.23483211671227
"138","Nopal","PC5",0.126503772546147
"139","Lobster","PC5",-0.00704116012342652
"140","Egg","PC5",-0.245857556221559
"141","Mushroom","PC5",0.190374924569049
"142","Bacon","PC5",-0.151042645421034
"143","Avocado","PC5",-0.0996611192767374
"144","Corn","PC5",0.0776850438398488
"145","Zucchini","PC5",0.330602124152099
"146","Beef","PC6",0.0852078588249037
"147","Pico","PC6",0.308715178535273
"148","Cheese","PC6",-0.0645088523195798
"149","Fries","PC6",0.0328391838087843
"150","Sour_cream","PC6",0.0134955258714522
"151","Pork","PC6",0.145601183419558
"152","Chicken","PC6",-0.203791651311132
"153","Shrimp","PC6",-0.0975842601326551
"154","Fish","PC6",0.222219610430966
"155","Tomato","PC6",-0.274624944933696
"156","Bell_pepper","PC6",0.0949234631809208
"157","Carrots","PC6",0.187526279761795
"158","Cabbage","PC6",0.0868032783794712
"159","Sauce","PC6",-0.45002009842474
"160","Salsa","PC6",0.0308785361035842
"161","Cilantro","PC6",-0.125699899968767
"162","Onion","PC6",-0.108410009004154
"163","Taquito","PC6",0.0645940192936814
"164","Pineapple","PC6",0.0064138793472726
"165","Ham","PC6",-0.0130652860501772
"166","Chile_relleno","PC6",-0.174703509082126
"167","Nopal","PC6",-0.129197081692684
"168","Lobster","PC6",-0.358111911394191
"169","Egg","PC6",-0.0139256168233186
"170","Mushroom","PC6",0.00246775515466764
"171","Bacon","PC6",0.0299529145518029
"172","Avocado","PC6",0.1241261178976
"173","Corn","PC6",0.452331962319443
"174","Zucchini","PC6",-0.106171453031047
"175","Beef","PC7",-0.118694859900665
"176","Pico","PC7",0.0548963118125645
"177","Cheese","PC7",0.0923459975028406
"178","Fries","PC7",-0.00762592109012634
"179","Sour_cream","PC7",0.00922289168277969
"180","Pork","PC7",-0.0418507238979805
"181","Chicken","PC7",0.471174541652384
"182","Shrimp","PC7",-0.28214753716365
"183","Fish","PC7",-0.00531973434430724
"184","Tomato","PC7",0.172646616319691
"185","Bell_pepper","PC7",-0.0423605497549109
"186","Carrots","PC7",-0.0406233246509836
"187","Cabbage","PC7",-0.0404662086078406
"188","Sauce","PC7",-0.263569313131122
"189","Salsa","PC7",0.329684890498357
"190","Cilantro","PC7",0.192955964794557
"191","Onion","PC7",0.088993903452432
"192","Taquito","PC7",0.0505647183601714
"193","Pineapple","PC7",-0.179860142877181
"194","Ham","PC7",-0.373684722982597
"195","Chile_relleno","PC7",-0.216073464214524
"196","Nopal","PC7",0.118711361160659
"197","Lobster","PC7",-0.0702620523809474
"198","Egg","PC7",-0.332074731190056
"199","Mushroom","PC7",0.135367979414807
"200","Bacon","PC7",0.0302094354429036
